iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
21,3.77508851177421742e-03,1.80694674147808122e-03,7.42149961630079276e-04,9.94348226724037176e-08,0.00000000000000000e+00
22,3.60625421459401154e-03,1.74637419069183686e-03,7.05194932756969452e-04,9.84209592664799949e-08,0.00000000000000000e+00
23,3.45193735825732742e-03,1.69118143472954917e-03,6.71422166638350657e-04,9.89944174110200213e-08,0.00000000000000000e+00
24,3.31064266177011519e-03,1.63983825140377130e-03,6.40457451681736701e-04,9.81117456959208932e-08,0.00000000000000000e+00
25,3.18043661189081495e-03,1.59262296722389399e-03,6.11981886326190007e-04,9.82756245729486616e-08,0.00000000000000000e+00
26,3.06029604282410375e-03,1.54846998202693006e-03,5.85723630641006121e-04,9.17547334958511163e-08,0.00000000000000000e+00
27,2.94886781185029530e-03,1.50749178653657775e-03,5.61447101925661562e-04,9.20590011696366591e-08,0.00000000000000000e+00
28,2.84561548803271462e-03,1.46851090277980156e-03,5.38948379358769798e-04,9.83470580328386856e-08,0.00000000000000000e+00
29,2.74889545086532240e-03,1.43290424501567705e-03,5.18052129462216087e-04,9.79063459105554262e-08,0.00000000000000000e+00
30,2.65867995616350921e-03,1.39907367706880600e-03,4.98600707341762721e-04,9.77543654683167645e-08,0.00000000000000000e+00
31,2.57439048190912867e-03,1.36672910159991567e-03,4.80457796578465351e-04,9.36419187307661007e-08,0.00000000000000000e+00
32,2.49481965973733346e-03,1.33706289437396614e-03,4.63503935271066523e-04,9.04589159957102307e-08,0.00000000000000000e+00
33,2.42060849802371763e-03,1.30772623890802416e-03,4.47631903702316576e-04,9.35964924241188575e-08,0.00000000000000000e+00
34,2.35007247041579478e-03,1.28101814378303808e-03,4.32746506778137379e-04,9.72856871485866168e-08,0.00000000000000000e+00
35,2.28363738655453126e-03,1.25535151726037715e-03,4.18762683756890828e-04,8.10008470773595052e-08,0.00000000000000000e+00
36,2.22049743491015660e-03,1.23146254360059640e-03,4.05605564899304976e-04,7.01283459731136014e-08,0.00000000000000000e+00
37,2.16151901668012623e-03,1.20706165427768275e-03,3.93207362403872772e-04,7.75428105507927235e-08,0.00000000000000000e+00
38,2.10505050652877055e-03,1.18487750284086983e-03,3.81506615219731648e-04,8.30937034988503770e-08,0.00000000000000000e+00
39,2.05114083097005439e-03,1.16397934956277292e-03,3.70450127156219452e-04,8.94727098862198146e-08,0.00000000000000000e+00
40,2.00011682964002218e-03,1.14354796311225441e-03,3.59987366917420689e-04,9.40260707932754853e-08,0.00000000000000000e+00
41,1.95145964341145671e-03,1.12402222654374006e-03,3.50072069458731564e-04,9.50679958619735858e-08,0.00000000000000000e+00
42,1.90500031731902393e-03,1.10533628463059638e-03,3.40659399258660196e-04,9.27837263362282371e-08,0.00000000000000000e+00
43,1.86069464950561485e-03,1.08723856405726284e-03,3.31717424549232394e-04,9.46287919981831736e-08,0.00000000000000000e+00
44,1.81832437271852473e-03,1.06995215063138333e-03,3.23213798635175770e-04,9.32289995450663933e-08,0.00000000000000000e+00
45,1.77768130777582536e-03,1.05337969325801448e-03,3.15118111213558844e-04,9.40030690421809671e-08,0.00000000000000000e+00
46,1.73887860132624131e-03,1.03724378561624781e-03,3.07402008559145169e-04,9.34108025531730756e-08,0.00000000000000000e+00
47,1.70155015282990934e-03,1.02185623988047488e-03,3.00039472240201904e-04,9.10224504286528522e-08,0.00000000000000000e+00
48,1.66564189852872369e-03,1.00707405357257427e-03,2.93007017507301945e-04,9.28990915085430466e-08,0.00000000000000000e+00
49,1.63149457759689765e-03,9.92333872455150850e-04,2.86283896074969295e-04,9.14669873768302545e-08,0.00000000000000000e+00
50,1.59822455697184373e-03,9.78678078288093859e-04,2.79851192691317290e-04,9.28362569245936371e-08,0.00000000000000000e+00
51,1.56658672726948381e-03,9.64960817140293639e-04,2.73690559481105640e-04,9.09505560528742275e-08,0.00000000000000000e+00
