iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
18,1.99301882881919024e-02,8.37162393966865009e-03,1.15154154057716084e-02,2.57007649203914703e-12,1.27437296826293789e-12
19,1.77059031834371459e-02,7.73296463703492410e-03,1.10773209045007953e-02,2.40901237642309014e-12,1.27437296826293789e-12
20,1.57486549445196161e-02,7.17244470439133783e-03,1.06723143445757590e-02,2.23907542645085578e-12,1.27437296826293789e-12
21,1.40274069370169927e-02,6.65711873623949044e-03,1.02946211662491745e-02,2.63576074291301428e-12,1.27437296826293789e-12
22,1.25174778973434191e-02,6.14661298269916084e-03,9.93977252562992450e-03,2.40136627168657959e-12,1.27437296826293789e-12
23,1.11883922118341736e-02,5.73062717346956626e-03,9.60802541204617416e-03,2.17990693796979698e-12,1.27437296826293789e-12
24,1.00231524939955689e-02,5.37362663707155984e-03,9.29875078105637382e-03,1.96354253264806810e-12,1.27437296826293789e-12
25,9.00437743160091217e-03,5.05626704412667945e-03,9.01030036861905081e-03,2.36461657461256415e-12,1.27437296826293789e-12
26,8.11235718761510981e-03,4.77422718302017435e-03,8.74048662962503484e-03,2.15593548259522450e-12,1.27437296826293789e-12
27,7.31033492351156489e-03,4.51737456423950863e-03,8.48667606626373784e-03,2.55539156461602431e-12,1.27437296826293789e-12
28,6.62959602865303456e-03,4.28473269731600645e-03,8.24904769623991188e-03,2.31608413770628334e-12,1.27437296826293789e-12
29,6.03128682892461066e-03,4.07733110597507074e-03,8.02661370678947085e-03,2.10550362804718589e-12,1.27437296826293789e-12
30,5.50271080873128687e-03,3.88879342564027626e-03,7.81769389924928497e-03,2.38972373634335450e-12,1.27437296826293789e-12
31,5.04074729819918837e-03,3.71733695753910564e-03,7.62157819253653657e-03,2.32676568108775539e-12,1.27437296826293789e-12
32,4.63872778329755490e-03,3.55774428980622790e-03,7.43718655179100019e-03,2.16606852587952951e-12,1.27437296826293789e-12
33,4.29042756118181660e-03,3.41118977439127226e-03,7.26373853060457639e-03,2.02259256160503181e-12,1.27437296826293789e-12
34,3.98439417899315498e-03,3.27674062388947458e-03,7.10022411181799630e-03,2.52194023463505004e-12,1.27437296826293789e-12
35,3.71585309589680599e-03,3.15310963293035252e-03,6.94582195968936229e-03,2.32562177636047195e-12,1.27437296826293789e-12
36,3.47986872238282858e-03,3.03908591627265363e-03,6.79981799809521986e-03,2.13882471580832488e-12,1.27437296826293789e-12
37,3.27193280816267563e-03,2.93329430074830378e-03,6.66153394440125845e-03,1.97350613778240537e-12,1.27437296826293789e-12
38,3.08823788084168016e-03,2.83544739679441552e-03,6.53042481573060194e-03,2.51752606895957319e-12,1.27437296826293789e-12
39,2.92542127476758118e-03,2.74805498673129714e-03,6.40602572296823571e-03,2.42609692419249620e-12,1.27437296826293789e-12
40,2.78007077350927740e-03,2.66572496384335144e-03,6.28781876973672892e-03,2.27670423696955448e-12,1.27437296826293789e-12
41,2.65009809840085347e-03,2.58684936080164248e-03,6.17533246938188791e-03,2.11246657337983937e-12,1.27437296826293789e-12
42,2.53358067916327435e-03,2.51267287044587995e-03,6.06819519494220146e-03,1.98179933360459033e-12,1.27437296826293789e-12
43,2.42851146591023092e-03,2.44277629501553481e-03,5.96605746363707695e-03,2.42474883824412517e-12,1.27437296826293789e-12
44,2.33299719258797580e-03,2.37689881972688328e-03,5.86859466589824321e-03,2.46457948677232067e-12,1.27437296826293789e-12
45,2.24643628672206675e-03,2.31423777885967361e-03,5.77551845687382468e-03,2.35185808804135916e-12,1.27437296826293789e-12
46,2.16735128133423247e-03,2.25472908248384833e-03,5.68655426439829744e-03,2.26128468637292452e-12,1.27437296826293789e-12
47,2.09475099578839124e-03,2.19845474200550594e-03,5.60146065174494095e-03,2.17453387115436972e-12,1.27437296826293789e-12
48,2.02781296398321740e-03,2.14478967806100863e-03,5.51998729872657957e-03,2.52767316407445396e-12,1.27437296826293789e-12
49,1.96584768175312070e-03,2.09375460876461009e-03,5.44194172650081746e-03,2.35251773170066910e-12,1.27437296826293789e-12
50,1.90799929296947318e-03,2.04480625537851709e-03,5.36711687372246667e-03,2.32160486052943657e-12,1.27437296826293789e-12
51,1.85335111100034308e-03,1.99805955591284999e-03,5.29531362173166036e-03,2.25675662774062934e-12,1.27437296826293789e-12
