cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure,density,pressure_absolute,compressible_temperature,mach_number
238,9.68750000000000000e-01,2.81250000000000007e-02,2.90907354253694592e+01,3.37329898921720931e-06,2.90907354253696546e+01,4.00749466375814245e+03,1.18001916167219068e+00,1.01617350107400693e+05,3.00000000000000000e+02,1.38998249059935602e-01
239,9.89583333333333259e-01,2.81250000000000007e-02,2.90909375494854245e+01,-1.64125175353552500e-06,2.90909375494854707e+01,-1.94854647204400209e+02,1.19875255075354570e+00,1.03230575908141589e+05,3.00000000000000000e+02,1.41928915341374723e-01
240,1.04166666666666661e-02,3.43750000000000028e-02,2.46814787980598531e+01,-3.15658562086962302e+00,2.48825125025781695e+01,5.66276313469812958e+04,1.99544502566986748e+00,1.71837748385560641e+05,3.00000000000000000e+02,7.00190804266788980e-02
241,3.12500000000000000e-02,3.43750000000000028e-02,2.52514954128735774e+01,-4.06469899323068706e-01,2.52547666464259990e+01,5.22994217446848488e+04,1.94607648987871951e+00,1.67586376925905934e+05,3.00000000000000000e+02,7.57851854484925119e-02
242,5.20833333333333287e-02,3.43750000000000028e-02,2.54462942879754621e+01,-1.42380127325421213e-01,2.54466926159552180e+01,5.42400877578007421e+04,1.96283338304097166e+00,1.69029396780573268e+05,3.00000000000000000e+02,7.33065501871222880e-02
243,7.29166666666666574e-02,3.43750000000000028e-02,2.54583329623862582e+01,-1.00770245539451280e-02,2.54583349567513260e+01,4.99846099539283678e+04,1.92163077172611718e+00,1.65481233907194575e+05,3.00000000000000000e+02,7.74197255227115216e-02
244,9.37500000000000000e-02,3.43750000000000028e-02,2.54508826574356313e+01,-2.80635113412397918e-03,2.54508828121573103e+01,5.19505672000250852e+04,1.93171136532944465e+00,1.66349324225345132e+05,3.00000000000000000e+02,7.45359608541322632e-02
245,1.14583333333333329e-01,3.43750000000000028e-02,2.54587501559411358e+01,1.35842201302544951e-04,2.54587501563035481e+01,4.77040819577041184e+04,1.89722034123936423e+00,1.63379129685827851e+05,3.00000000000000000e+02,7.84000804823270642e-02
246,1.35416666666666657e-01,3.43750000000000028e-02,2.54504841342263504e+01,-4.05220648108591883e-06,2.54504841342266737e+01,4.96667905635287534e+04,1.90051475000844872e+00,1.63662827696977562e+05,3.00000000000000000e+02,7.57804285862220123e-02
247,1.56250000000000000e-01,3.43750000000000028e-02,2.54585956190160267e+01,1.45215786249804529e-05,2.54585956190201692e+01,4.54238594478881059e+04,1.87216476219487404e+00,1.61221468496411573e+05,3.00000000000000000e+02,7.94326012717580243e-02
248,1.77083333333333315e-01,3.43750000000000028e-02,2.54505358676108173e+01,4.11892376377180412e-06,2.54505358676111513e+01,4.73831815720779123e+04,1.86912812820879015e+00,1.60959968760699965e+05,3.00000000000000000e+02,7.70728511589052756e-02
249,1.97916666666666657e-01,3.43750000000000028e-02,2.54585143594256138e+01,-2.54184707979135467e-06,2.54585143594257417e+01,4.31435907227282441e+04,1.84644453747010373e+00,1.59006571344237978e+05,3.00000000000000000e+02,8.05245162242721468e-02
250,2.18750000000000000e-01,3.43750000000000028e-02,2.54506216828357914e+01,3.52022483596177729e-06,2.54506216828360330e+01,4.50996083801194181e+04,1.83751956695921992e+00,1.58237997508693225e+05,3.00000000000000000e+02,7.84157442984554781e-02
251,2.39583333333333315e-01,3.43750000000000028e-02,2.54584198003894819e+01,-3.77274359722675788e-06,2.54584198003897590e+01,4.08632858437544492e+04,1.82004957216852059e+00,1.56733568907292152e+05,3.00000000000000000e+02,8.16796922451165364e-02
252,2.60416666666666630e-01,3.43750000000000028e-02,2.54507245113607681e+01,4.10924482213746640e-06,2.54507245113611020e+01,4.28160739748696797e+04,1.80565681801497058e+00,1.55494136883359199e+05,3.00000000000000000e+02,7.98136706040464133e-02
253,2.81250000000000000e-01,3.43750000000000028e-02,2.54583086296625609e+01,-4.38094962253893283e-06,2.54583086296629375e+01,3.85829389002819298e+04,1.79296763377544655e+00,1.54401407782572584e+05,3.00000000000000000e+02,8.29028293620532458e-02
254,3.02083333333333315e-01,3.43750000000000028e-02,2.54508437541479644e+01,4.66850445971249409e-06,2.54508437541483907e+01,4.05325850468596036e+04,1.77350597124950116e+00,1.52725466714150796e+05,3.00000000000000000e+02,8.12718242172713323e-02
255,3.22916666666666630e-01,3.43750000000000028e-02,2.54581814821723995e+01,-4.95370732035738435e-06,2.54581814821728827e+01,3.63025431177247447e+04,1.76518432765043065e+00,1.52008848375616828e+05,3.00000000000000000e+02,8.41992208324590236e-02
256,3.43750000000000000e-01,3.43750000000000028e-02,2.54509786716829929e+01,5.23834112512198152e-06,2.54509786716835329e+01,3.82491482237840901e+04,1.74103125642677514e+00,1.49928906647191732e+05,3.00000000000000000e+02,8.27960274521744866e-02
