cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure,concentration_CO2
58,9.25000000000000044e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.49999063037288527e-02
59,9.75000000000000089e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.49999685130086816e-02
60,2.50000000000000014e-02,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.74999967732768646e-01
61,7.50000000000000111e-02,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.24999903984375149e-01
62,1.25000000000000000e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.74999842620961976e-01
63,1.75000000000000017e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.24999785118795681e-01
64,2.25000000000000006e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.74999732906876404e-01
65,2.75000000000000022e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.24999687264714643e-01
66,3.25000000000000011e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.74999649342282848e-01
67,3.75000000000000000e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.24999620043222848e-01
68,4.25000000000000044e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.74999600106114728e-01
69,4.75000000000000033e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.24999589996303473e-01
70,5.25000000000000022e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.74999590003209127e-01
71,5.75000000000000067e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24999600100206820e-01
