iteration,u_residual,v_residual,w_residual,p_residual,continuity_residual,global_mass_imbalance
24,1.56227514938753361e-04,1.31887921380182890e-04,3.64827320081917197e-05,1.78699706168831274e-04,1.31253988344917406e-08,0.00000000000000000e+00
25,1.53042037381050610e-04,1.23946583510930108e-04,3.66471977714910547e-05,1.69450335945599707e-04,1.45918037607484018e-08,0.00000000000000000e+00
26,1.50996423804136318e-04,1.17952135337828629e-04,3.68254636420693179e-05,1.60224105959631060e-04,1.41731564142419880e-08,0.00000000000000000e+00
27,1.46456111604645117e-04,1.14230061502702300e-04,3.69863210423893160e-05,1.53016779445532762e-04,1.11595590183742278e-08,0.00000000000000000e+00
28,1.42223326403127071e-04,1.09926536498747206e-04,3.71024619142686194e-05,1.46460179914660349e-04,1.32124518371406142e-08,0.00000000000000000e+00
29,1.38097674220157761e-04,1.04357371543312274e-04,3.71492634327600280e-05,1.38458478913656421e-04,1.19979717181382430e-08,0.00000000000000000e+00
30,1.34128600076874435e-04,9.94772969493441117e-05,3.69896420820264578e-05,1.30783423258655105e-04,7.00700049012936423e-09,0.00000000000000000e+00
31,1.30675645947302176e-04,9.61480068433419078e-05,3.67790833906402468e-05,1.24563029268818062e-04,1.17815044120138786e-08,0.00000000000000000e+00
32,1.26124694106346185e-04,9.27400587570231826e-05,3.65362428019981223e-05,1.18416350139616329e-04,9.28813073221563140e-09,0.00000000000000000e+00
33,1.21791883850123244e-04,8.90167067009689739e-05,3.63629186600835394e-05,1.12036661113072458e-04,7.22077508357241560e-09,0.00000000000000000e+00
34,1.17928974541257425e-04,8.55335879968046708e-05,3.61502991078582641e-05,1.05855756168533952e-04,9.69169242012461567e-09,0.00000000000000000e+00
35,1.13959278244975005e-04,8.24528554906997540e-05,3.57698123138409506e-05,1.00190018844097088e-04,8.13263985366893904e-09,0.00000000000000000e+00
36,1.10231513230382762e-04,7.99035943890596701e-05,3.53410228013855483e-05,9.53400923721796128e-05,7.41084618776321934e-09,0.00000000000000000e+00
37,1.06441106025405841e-04,7.73555041246655494e-05,3.49180523634205726e-05,9.06934530486927932e-05,8.62085078800903134e-09,0.00000000000000000e+00
38,1.02911896992179323e-04,7.47186591202006511e-05,3.44952689256473091e-05,8.60371019238835615e-05,8.17084891690151410e-09,0.00000000000000000e+00
39,9.94381946975425314e-05,7.23190690675222330e-05,3.39965115759059905e-05,8.16199324015437564e-05,7.49231702373533754e-09,0.00000000000000000e+00
40,9.60333122716759723e-05,7.00768731567521131e-05,3.34418818764475187e-05,7.72863333245246844e-05,2.51894908323075231e-09,0.00000000000000000e+00
41,9.29203660999992047e-05,6.79821897677564005e-05,3.28130381211558079e-05,7.34715588396674823e-05,6.37401523145641518e-09,0.00000000000000000e+00
42,8.99059664215927091e-05,6.60857988271600208e-05,3.22142385680929949e-05,7.01200598865166030e-05,1.36748506157537925e-09,0.00000000000000000e+00
