cell_id,x,y,z,velocity_x,velocity_y,velocity_z,velocity_magnitude,pressure
27028,6.40625000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-1.31832291401185603e-01,-1.06778984041514605e-01,-3.22574605303235229e-02,1.72690614246665208e-01,-3.18118801654223918e-02
27029,6.71875000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-1.41263942982928464e-01,-1.34308174614024445e-01,-2.85229443276440141e-02,1.96996816492940374e-01,-3.07517432983497527e-02
27030,7.03125000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-1.52364820854326816e-01,-1.66431670196240861e-01,-2.45464173027638947e-02,2.26973712311982989e-01,-2.92511999253786056e-02
27031,7.34375000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-1.62875129434739280e-01,-2.02208042201271337e-01,-2.02465664795133601e-02,2.60434873957892887e-01,-2.70789847837755900e-02
27032,7.65625000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-1.68785102606580528e-01,-2.37786674260941633e-01,-1.51580604607983137e-02,2.91994315209947675e-01,-2.38695133593337071e-02
27033,7.96875000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-1.69158791804875058e-01,-2.65286250993914841e-01,-1.00456492083275551e-02,3.14789464371519612e-01,-2.03546999515562370e-02
27034,8.28125000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-1.56741572423093334e-01,-2.78909790622260068e-01,-7.08718110983979840e-03,3.20013780901230005e-01,-1.76037008515099319e-02
27035,8.59375000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-1.31177935198236811e-01,-2.69572252809724633e-01,-6.16524323943530832e-03,2.99858067078383472e-01,-1.39372241205788869e-02
27036,8.90625000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-8.97421637504219466e-02,-2.13365346604053763e-01,-4.47238867195616768e-03,2.31513345936057380e-01,-1.13927331699349554e-02
27037,9.21875000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-4.43996702390893824e-02,-1.31843409382405435e-01,-3.41347859803169508e-03,1.39160580449549903e-01,-1.10791009916040954e-02
27038,9.53125000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-1.32049253355397914e-02,-5.53152554889682624e-02,-2.66465427575802733e-03,5.69319587344079489e-02,-1.16017026712164368e-02
27039,9.84375000000000000e-01,3.90625000000000000e-01,8.28125000000000000e-01,-2.48476025136950239e-03,-8.71975839580534963e-03,-1.35841409940692113e-03,9.16807007245643013e-03,-1.23893902150860498e-02
27040,1.56250000000000000e-02,4.21875000000000000e-01,8.28125000000000000e-01,-1.74530864850463378e-04,6.96235108261238494e-02,2.01687801126113793e-02,7.24861601411541101e-02,-1.06796642302934858e-02
27041,4.68750000000000000e-02,4.21875000000000000e-01,8.28125000000000000e-01,-4.63506452222954037e-03,1.50805914698948218e-01,4.29150884788264339e-02,1.56861762550524642e-01,-1.14610602826341109e-02
