cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure,temperature
86,3.25000000000000011e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.03499999999999943e+02
87,3.75000000000000000e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.02499999999999886e+02
88,4.25000000000000044e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.01499999999999886e+02
89,4.75000000000000033e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.00500000000000000e+02
90,5.25000000000000022e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.99500000000000000e+02
91,5.75000000000000067e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.98500000000000057e+02
92,6.25000000000000000e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.97500000000000114e+02
93,6.75000000000000044e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.96500000000000227e+02
94,7.25000000000000089e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.95500000000000227e+02
95,7.75000000000000022e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.94500000000000284e+02
96,8.25000000000000067e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.93500000000000284e+02
97,8.75000000000000000e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.92500000000000227e+02
