iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
36,2.01427941472802829e-03,2.03031624013276599e-03,3.77884999298590523e-03,9.36660193708852660e-11,1.51239643766953868e-07
37,1.92724613272435307e-03,1.91997669493364459e-03,3.67296852144366253e-03,3.22384363350571339e-10,1.51239643766953868e-07
38,1.84677602005872687e-03,1.81760205156148900e-03,3.57398710987014406e-03,4.41321412477406665e-10,1.51239643766953868e-07
39,1.77224246566653207e-03,1.72252393726195219e-03,3.48129465192201009e-03,4.11113678129285803e-10,1.51239643766953868e-07
40,1.70308295550095318e-03,1.63413696924940340e-03,3.39434200085459142e-03,4.35333558521025955e-10,1.51239643766953868e-07
41,1.63879316925198476e-03,1.55189200298000841e-03,3.31263499981695585e-03,3.11783804404888554e-10,1.51239643766953868e-07
42,1.57892896077933397e-03,1.47529206195385720e-03,3.23572939763358634e-03,3.64881622369136641e-10,1.51239643766953868e-07
43,1.52308471557957982e-03,1.40388348212850539e-03,3.16322443257003715e-03,4.40444667936922424e-10,1.51239643766953868e-07
44,1.47090107480672108e-03,1.33725460732028994e-03,3.09475904348003152e-03,4.39997945305206151e-10,1.51239643766953868e-07
45,1.42205321179124898e-03,1.27503001331109194e-03,3.03000722083928429e-03,4.14202167002841978e-10,1.51239643766953868e-07
46,1.37625650468567971e-03,1.21686664548915501e-03,2.96867425387829786e-03,3.97867278246531240e-10,1.51239643766953868e-07
47,1.33324118250916120e-03,1.16245106918133937e-03,2.91049374927637326e-03,4.13845734443566043e-10,1.51239643766953868e-07
48,1.29278228282023698e-03,1.11149699403141492e-03,2.85522414066784061e-03,4.32067760460946228e-10,1.51239643766953868e-07
49,1.25466031047250653e-03,1.06374218952720221e-03,2.80264681964534097e-03,4.09663247695986954e-10,1.51239643766953868e-07
50,1.21869206690186746e-03,1.01894616537325238e-03,2.75256289173736500e-03,3.59342124611091395e-10,1.51239643766953868e-07
51,1.18470089568851935e-03,9.76888670582363051e-04,2.70479199298766454e-03,3.97573371791763186e-10,1.51239643766953868e-07
