iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1760,4.39219897778189956e-07,2.66665788739450140e-07,1.54707538635368175e-05,4.67090473247705423e-09,0.00000000000000000e+00
1761,4.39047425581867781e-07,2.66359682592057153e-07,1.54590205579759103e-05,4.70927804408374235e-09,0.00000000000000000e+00
1762,4.38656054606695254e-07,2.66059566486509416e-07,1.54473060412428000e-05,4.74739257969781107e-09,0.00000000000000000e+00
1763,4.38248078828816564e-07,2.65757723689142476e-07,1.54356040917619788e-05,4.78512047341748382e-09,0.00000000000000000e+00
1764,4.37866486334519411e-07,2.65455618101253824e-07,1.54239129460723823e-05,4.82244606900239009e-09,0.00000000000000000e+00
1765,4.37504766505615854e-07,2.65153338767763634e-07,1.54122324962898603e-05,4.85990037512340238e-09,0.00000000000000000e+00
1766,4.37170762350390585e-07,2.64859175800925161e-07,1.54005618822596986e-05,4.89660720926303862e-09,0.00000000000000000e+00
1767,4.36806870784565465e-07,2.64564406601594380e-07,1.53889035585270601e-05,4.93293847440995145e-09,0.00000000000000000e+00
1768,4.36444864127842019e-07,2.64260697341292761e-07,1.53772565880859313e-05,4.96969701082495636e-09,0.00000000000000000e+00
1769,4.36135522433234001e-07,2.63923286293997412e-07,1.53656201305885895e-05,5.00572726695852459e-09,0.00000000000000000e+00
1770,4.35764319237611353e-07,2.63604276072657326e-07,1.53539967479687592e-05,5.04140965702981445e-09,0.00000000000000000e+00
1771,4.35389012537962800e-07,2.63296126645493856e-07,1.53423847030865930e-05,5.07676335774851635e-09,0.00000000000000000e+00
1772,4.35025158448026706e-07,2.62989097005720127e-07,1.53307834708232934e-05,5.11184547467405826e-09,0.00000000000000000e+00
1773,4.34669576748778619e-07,2.62682043306090675e-07,1.53191930482397374e-05,5.14671497868954672e-09,0.00000000000000000e+00
1774,4.34317287470357441e-07,2.62375001415581862e-07,1.53076135500055921e-05,5.18142083935103018e-09,0.00000000000000000e+00
1775,4.33965490175824200e-07,2.62068182027703470e-07,1.52960450604886187e-05,5.21600039271820779e-09,0.00000000000000000e+00
1776,4.33613305660476059e-07,2.61761824097008654e-07,1.52844876131359291e-05,5.25048003237851337e-09,0.00000000000000000e+00
1777,4.33260784341185495e-07,2.61456152197446058e-07,1.52729412088539705e-05,5.28487605079906478e-09,0.00000000000000000e+00
1778,4.32908233904680924e-07,2.61151353793893876e-07,1.52614058347619196e-05,5.31919583188501912e-09,0.00000000000000000e+00
1779,4.32555939364527659e-07,2.60847567922873655e-07,1.52498814744415826e-05,5.35343980994365851e-09,0.00000000000000000e+00
1780,4.32204099437217032e-07,2.60544880678594830e-07,1.52383681117357927e-05,5.38760390657960913e-09,0.00000000000000000e+00
1781,4.31852834005991596e-07,2.60243324220878234e-07,1.52268657315929571e-05,5.42168158179890054e-09,0.00000000000000000e+00
1782,4.31502200426649972e-07,2.59942879044208871e-07,1.52153743201377700e-05,5.45566497576207952e-09,0.00000000000000000e+00
1783,4.31152206332881250e-07,2.59643480948811776e-07,1.52038938649667992e-05,5.48954554109371135e-09,0.00000000000000000e+00
1784,4.30802822831934253e-07,2.59345033104566043e-07,1.51924243554373061e-05,5.52331467359464565e-09,0.00000000000000000e+00
1785,4.30453997981283156e-07,2.59047418999689074e-07,1.51809657823147733e-05,5.55696434798403837e-09,0.00000000000000000e+00
1786,4.30105668070395254e-07,2.58750511749692038e-07,1.51695181370266394e-05,5.59048783047709404e-09,0.00000000000000000e+00
1787,4.29757765918444228e-07,2.58454180356679497e-07,1.51580814110629068e-05,5.62388063627307631e-09,0.00000000000000000e+00
1788,4.29410226387595928e-07,2.58158296031567372e-07,1.51466555956680821e-05,5.65611214024037025e-09,0.00000000000000000e+00
1789,4.29013455294241287e-07,2.57896480326044782e-07,1.51352412851963262e-05,5.68974063335890042e-09,0.00000000000000000e+00
1790,4.28732637318250222e-07,2.57580050675908129e-07,1.51238352319860102e-05,5.72281908023804431e-09,0.00000000000000000e+00
1791,4.28390959390846702e-07,2.57273496969740654e-07,1.51124418580496187e-05,5.75471551265154008e-09,0.00000000000000000e+00
1792,4.27982677780399533e-07,2.57010277541455431e-07,1.51010605288526328e-05,5.78808914965423163e-09,0.00000000000000000e+00
1793,4.27694276245508199e-07,2.56694157905981831e-07,1.50896874076066758e-05,5.81981986707470669e-09,0.00000000000000000e+00
1794,4.27299712569990211e-07,2.56420693595386223e-07,1.50783274334606199e-05,5.85202133491710789e-09,0.00000000000000000e+00
1795,4.26959325873528713e-07,2.56135128706116918e-07,1.50669767170720614e-05,5.88422259055700764e-09,0.00000000000000000e+00
1796,4.26626114447539851e-07,2.55840769449365673e-07,1.50556366033662344e-05,5.91644668295625859e-09,0.00000000000000000e+00
1797,4.26285952064529691e-07,2.55545880328003998e-07,1.50443075070538632e-05,5.94869746655317814e-09,0.00000000000000000e+00
1798,4.25940633736940192e-07,2.55251406688000636e-07,1.50329894204788337e-05,5.98097498343909328e-09,0.00000000000000000e+00
1799,4.25593588951452608e-07,2.54957442761932963e-07,1.50216822438237003e-05,6.01262093185621074e-09,0.00000000000000000e+00
1800,4.25227339941575098e-07,2.54655454527781047e-07,1.50103869985023769e-05,6.04471765589736005e-09,0.00000000000000000e+00
1801,4.24892669112114534e-07,2.54354130619249639e-07,1.49991014094662531e-05,6.07686357883115850e-09,0.00000000000000000e+00
1802,4.24556343575210023e-07,2.54061092364545911e-07,1.49878264618849132e-05,6.10905614523315583e-09,0.00000000000000000e+00
1803,4.24215406741785644e-07,2.53769933424929639e-07,1.49765623775949408e-05,6.14128124708176356e-09,0.00000000000000000e+00
1804,4.23872047910523000e-07,2.53479672753734960e-07,1.49653091274030626e-05,6.17352218219647616e-09,0.00000000000000000e+00
1805,4.23528340236710128e-07,2.53190194355070780e-07,1.49540666425977965e-05,6.20576305376659010e-09,0.00000000000000000e+00
1806,4.23185258032470343e-07,2.52901477941406823e-07,1.49428348738869613e-05,6.23798991168416381e-09,0.00000000000000000e+00
1807,4.22843040145689570e-07,2.52613484792770609e-07,1.49316137929280622e-05,6.27019098980845299e-09,0.00000000000000000e+00
1808,4.22501627275785249e-07,2.52326151477141598e-07,1.49204033821258209e-05,6.30298164608041727e-09,0.00000000000000000e+00
1809,4.22179943645614327e-07,2.52047683718360751e-07,1.49092025481404972e-05,6.33470444299874518e-09,0.00000000000000000e+00
1810,4.21809373335252932e-07,2.51761333570159890e-07,1.48980145517801727e-05,6.36738130875456030e-09,0.00000000000000000e+00
1811,4.21491157445510173e-07,2.51476452315690311e-07,1.48868351133042755e-05,6.39960886931157162e-09,0.00000000000000000e+00
1812,4.21145858928118821e-07,2.51198154498849043e-07,1.48756671678406681e-05,6.43176047260883785e-09,0.00000000000000000e+00
1813,4.20801029421499407e-07,2.50913752391983839e-07,1.48645099690355083e-05,6.46383408501947793e-09,0.00000000000000000e+00
1814,4.20459735654485298e-07,2.50628445601961843e-07,1.48533633061369716e-05,6.49583596694523546e-09,0.00000000000000000e+00
1815,4.20120925034650212e-07,2.50343090702799584e-07,1.48422271565552214e-05,6.52777432280953994e-09,0.00000000000000000e+00
1816,4.19783242628020216e-07,2.50057800911996739e-07,1.48311015368230262e-05,6.55965742889629125e-09,0.00000000000000000e+00
1817,4.19445967124827770e-07,2.49772579346891416e-07,1.48199864555791919e-05,6.59149379028814059e-09,0.00000000000000000e+00
1818,4.19108882079069222e-07,2.49487430822699266e-07,1.48088819082222104e-05,6.62329253386468056e-09,0.00000000000000000e+00
1819,4.18771997202980674e-07,2.49202378803886126e-07,1.47977878823346245e-05,6.65506348027363607e-09,0.00000000000000000e+00
1820,4.18435378378379248e-07,2.48917464019463487e-07,1.47867043626488719e-05,6.68681689905257971e-09,0.00000000000000000e+00
1821,4.18099083901964914e-07,2.48632739672314885e-07,1.47756313335482163e-05,6.71856306005292880e-09,0.00000000000000000e+00
1822,4.17763153013786314e-07,2.48348266448771482e-07,1.47645687799264385e-05,6.75031166520868847e-09,0.00000000000000000e+00
1823,4.17427609834810270e-07,2.48064107867507886e-07,1.47535166872936574e-05,6.78207123107759861e-09,0.00000000000000000e+00
1824,4.17092468620379468e-07,2.47780326061554656e-07,1.47424750417050968e-05,6.81384851157358309e-09,0.00000000000000000e+00
1825,4.16757737406616026e-07,2.47496978042109669e-07,1.47314438296320938e-05,6.84564806367816103e-09,0.00000000000000000e+00
1826,4.16423420008925276e-07,2.47214112551146010e-07,1.47204230377875341e-05,6.87747203759118659e-09,0.00000000000000000e+00
1827,4.16089517087591423e-07,2.46931767749229764e-07,1.47094126530536962e-05,6.90932022065152636e-09,0.00000000000000000e+00
1828,4.15756025944262210e-07,2.46649969725762494e-07,1.46984126623813835e-05,6.94119030935838498e-09,0.00000000000000000e+00
1829,4.15422939947087355e-07,2.46368732104913191e-07,1.46874230528185002e-05,6.97307835221283549e-09,0.00000000000000000e+00
1830,4.15090247699406423e-07,2.46088056584868141e-07,1.46764438115615451e-05,7.00497929744383626e-09,0.00000000000000000e+00
1831,4.14757932978461708e-07,2.45807934438026967e-07,1.46654749260597755e-05,7.03688757240035056e-09,0.00000000000000000e+00
1832,4.14425975489322089e-07,2.45528348656651273e-07,1.46545163840413625e-05,7.06879760847044310e-09,0.00000000000000000e+00
