iteration,u_residual,v_residual,w_residual,p_residual,continuity_residual,global_mass_imbalance
21,2.01308823626536145e-04,1.85606602956163566e-04,5.24153958140992688e-05,6.75473775446155613e-05,3.95121299600487085e-09,0.00000000000000000e+00
22,1.83017053303057822e-04,1.68938585551597296e-04,4.90732583017741984e-05,5.98605074275839933e-05,5.57591775698215961e-09,0.00000000000000000e+00
23,1.66538849351427281e-04,1.54119322000323926e-04,4.58808491235849567e-05,5.30185636325138096e-05,4.34479819275220746e-09,0.00000000000000000e+00
24,1.52307456585539441e-04,1.40843005057187992e-04,4.28514005823158942e-05,4.73704343060813010e-05,1.95097142592538926e-09,0.00000000000000000e+00
25,1.39297515031880484e-04,1.29012306791412767e-04,3.99944978595805238e-05,4.24196645964331859e-05,2.76169301921754754e-09,0.00000000000000000e+00
26,1.27536074073939914e-04,1.18320564098357671e-04,3.72976736323723078e-05,3.80525044020180316e-05,3.28493129275585841e-09,0.00000000000000000e+00
27,1.16939651055632230e-04,1.08606298480056802e-04,3.47496984391786667e-05,3.42642251381894118e-05,3.42011803259459270e-09,0.00000000000000000e+00
28,1.07309207504098172e-04,9.97488881086580609e-05,3.23410363281274985e-05,3.08492562803166999e-05,1.57892916187829766e-09,0.00000000000000000e+00
29,9.85840987849049557e-05,9.16928185455698013e-05,3.00701428353076872e-05,2.77595186499892482e-05,2.09181936809559676e-09,0.00000000000000000e+00
30,9.06916380628422026e-05,8.43537345393325131e-05,2.79311327583098969e-05,2.50983137758026997e-05,2.04171422051008770e-09,0.00000000000000000e+00
31,8.34441898245933230e-05,7.76576268167115507e-05,2.59265243960416815e-05,2.27520522336742459e-05,3.01792396441266282e-10,0.00000000000000000e+00
32,7.68163417917746698e-05,7.15208955254994789e-05,2.40503373681116016e-05,2.07098687073919211e-05,1.48762574063004570e-09,0.00000000000000000e+00
33,7.07841853763538668e-05,6.58701135284124514e-05,2.22944988046703453e-05,1.89401973816331343e-05,8.93266064276225654e-10,0.00000000000000000e+00
34,6.52540216874160052e-05,6.06616305096965237e-05,2.06526266068482345e-05,1.73678411652876296e-05,4.84004367699256410e-11,0.00000000000000000e+00
35,6.01883256023131376e-05,5.58661039196509235e-05,1.91289500213470523e-05,1.59537903375626760e-05,1.00113264236268861e-09,0.00000000000000000e+00
36,5.55278746633702271e-05,5.14486575134553704e-05,1.77058896101988312e-05,1.46572558106010536e-05,9.96021296943034560e-10,0.00000000000000000e+00
37,5.12187600245998990e-05,4.73943450744112322e-05,1.63819032853399056e-05,1.34622049817634721e-05,6.49465072559465655e-10,0.00000000000000000e+00
38,4.72549183266235648e-05,4.36628989710062678e-05,1.51506202128515039e-05,1.23751737867833777e-05,1.04588364563501220e-09,0.00000000000000000e+00
39,4.35957490770818353e-05,4.02203524583425389e-05,1.40023762800033114e-05,1.13718377107384509e-05,1.88194189143731323e-10,0.00000000000000000e+00
40,4.02073462696185522e-05,3.70494213079880936e-05,1.29347510210056441e-05,1.04393345950587176e-05,7.47967069092208186e-10,0.00000000000000000e+00
41,3.70902118008753804e-05,3.41234729140807918e-05,1.19437508933749675e-05,9.59327395293552806e-06,5.45089884745442747e-10,0.00000000000000000e+00
42,3.42244742177121868e-05,3.14263940337266206e-05,1.10218102278039300e-05,8.83282482937101453e-06,5.19621650940922206e-10,0.00000000000000000e+00
