iteration,u_residual,v_residual,w_residual,p_residual,continuity_residual,global_mass_imbalance
19,1.19484883836979902e-03,1.46928381051356728e-04,1.46928382583852863e-04,4.73004349416184449e-05,7.47483711918151678e-11,1.33374604763258908e-12
20,8.81004535592354765e-04,1.12794031642556554e-04,1.12794032715412293e-04,3.72536008362555696e-05,3.54921729857595299e-12,1.33374604763258908e-12
21,6.49428907706054814e-04,8.62285214879476207e-05,8.62285221997931067e-05,2.92066466284492258e-05,4.52539559907806985e-11,1.33374604763258908e-12
22,4.78667071745265114e-04,6.56708369632452374e-05,6.56708374640181225e-05,2.27853098971016422e-05,3.93768544349880378e-11,1.33374604763258908e-12
23,3.52744184974168574e-04,4.98440919159425281e-05,4.98440923464206503e-05,1.76880862756976769e-05,3.01510707971223921e-11,1.33374604763258908e-12
24,2.59892051531196314e-04,3.77174706276343281e-05,3.77174708279350146e-05,1.36661465632398153e-05,2.22107789789403377e-11,1.33374604763258908e-12
25,1.91463823397581190e-04,2.84647321331477547e-05,2.84647322637865101e-05,1.05119455202871518e-05,9.42289171162439684e-12,1.33374604763258908e-12
26,1.41036958951085026e-04,2.14308242296747900e-05,2.14308243118353088e-05,8.05272758990522583e-06,6.76306702982502456e-12,1.33374604763258908e-12
27,1.03879042847666847e-04,1.61012727387952533e-05,1.61012727863822758e-05,6.14579218448631646e-06,2.23522903793325746e-12,1.33374604763258908e-12
28,7.65029301745185936e-05,1.20747314165765561e-05,1.20747314623230810e-05,4.67455792086589206e-06,3.39199853992104017e-12,1.33374604763258908e-12
29,5.63371800237945567e-05,9.04034276449486056e-06,9.04034278474106389e-06,3.54467963042125800e-06,3.07209792096008606e-12,1.33374604763258908e-12
30,4.14830062026310355e-05,6.75879200717640975e-06,6.75879202827131638e-06,2.68052498278115262e-06,4.77732674625335725e-12,1.33374604763258908e-12
31,3.05432132662219723e-05,5.04669555064906828e-06,5.04669556089682354e-06,2.02207310253239931e-06,3.60446693731907094e-12,1.33374604763258908e-12
32,2.24867334574836769e-05,3.76412693449122804e-06,3.76412694299840641e-06,1.52201920934522385e-06,1.51639999694960921e-12,1.33374604763258908e-12
33,1.65541044674665286e-05,2.80481868107144905e-06,2.80481868800927654e-06,1.14339067140377899e-06,1.52306734031159838e-12,1.33374604763258908e-12
34,1.21859334323934551e-05,2.08822945436822564e-06,2.08822946007940034e-06,8.57472033034362569e-07,1.48850783525633423e-12,1.33374604763258908e-12
35,8.97005477195939042e-06,1.55355991036415417e-06,1.55355991821372602e-06,6.42060376284722721e-07,1.05100895503392655e-12,1.33374604763258908e-12
36,6.60204939060890602e-06,1.15503903624711498e-06,1.15503903678609475e-06,4.80104107638241907e-07,5.81462502925763734e-13,1.33374604763258908e-12
37,4.85881509181201890e-06,8.58265992274824487e-07,8.58265924249676361e-07,3.58566837415840583e-07,3.77654640086284151e-13,1.33374604763258908e-12
38,3.57583918230017553e-06,6.37433017019625697e-07,6.37433014312798930e-07,2.67510500042696130e-07,4.31753889857973934e-13,1.33374604763258908e-12
39,2.63149553236462314e-06,4.73219822646149543e-07,4.73219833994382350e-07,1.99390650812113024e-07,1.34768589199978800e-13,1.33374604763258908e-12
40,1.93625372613768908e-06,3.51178334148910765e-07,3.51178348015764065e-07,1.48492724974192613e-07,1.22159130540137125e-13,1.33374604763258908e-12
41,1.42470619229715155e-06,2.60528992485425702e-07,2.60529005093525045e-07,1.10507305380246212e-07,5.48595226802394698e-14,1.33374604763258908e-12
42,1.04821552165059420e-06,1.93223666038595893e-07,1.93223675896369674e-07,8.21861046454017162e-08,4.78595165064846948e-14,1.33374604763258908e-12
