cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure,temperature
22,1.86888705083740847e+00,1.47084600763331713e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83335071704773522e-01
23,1.95192193836498906e+00,1.53619588137742097e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83335050746364625e-01
24,1.03295177851871078e+00,1.35990681529330887e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72224787411796965e-01
25,1.11550308546500498e+00,1.46858767267914053e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72224699943862514e-01
26,1.19806001809665852e+00,1.57727593642025876e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72224584655239310e-01
27,1.28062148757134309e+00,1.68597017302853591e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72224469029349558e-01
28,1.36318666900850949e+00,1.79466929652812995e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72224363138601722e-01
29,1.44575492607172396e+00,1.90337246916623626e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72224270059098283e-01
30,1.52832576001082909e+00,2.01207903432580631e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72224190292291790e-01
31,1.61089877438336981e+00,2.12078847008045274e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72224123550412545e-01
32,1.69347365010153195e+00,2.22950035634310650e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72224069514910472e-01
33,1.77605012744267232e+00,2.33821435118240634e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72224028188079070e-01
34,1.85862799285704816e+00,2.44693017345478853e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72224000027851254e-01
35,1.94120706914383612e+00,2.55564758987094354e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.72223985794281265e-01
36,1.02441895164808305e+00,1.89864830108219279e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.61113523751155108e-01
37,1.10628833323758080e+00,2.05038423101152556e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.61113464652342597e-01
38,1.18816329404077248e+00,2.20213050140222494e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.61113380081018098e-01
39,1.27004275420983070e+00,2.35388511087465530e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.61113290456685032e-01
