iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
18,1.00106745126027422e-02,6.93693697694400778e-03,8.52173618349083735e-03,2.29197712929740124e-12,2.44509135161052882e-11
19,9.32278467855522132e-03,6.49947151679408381e-03,8.05450676454613594e-03,2.43666392455387105e-12,2.44509135161052882e-11
20,8.65707877719138277e-03,6.22266924937909475e-03,7.61503897806405788e-03,2.37727118905768238e-12,2.44509135161052882e-11
21,7.91794472671870919e-03,5.92349605091668351e-03,7.19269335132301495e-03,2.39119231186726636e-12,2.44509135161052882e-11
22,7.08270638563381853e-03,5.45002210281472169e-03,6.78620526283006068e-03,2.20085039197228333e-12,2.44509135161052882e-11
23,6.65385571387360191e-03,5.08067441319743837e-03,6.35807027737783723e-03,2.13436226245631321e-12,2.44509135161052882e-11
24,6.27942967819193100e-03,4.70343672437583803e-03,5.92959266087681857e-03,2.23101586309849259e-12,2.44509135161052882e-11
25,5.85418293959050900e-03,4.38146814134364373e-03,5.54873301370255399e-03,2.22904640841787017e-12,2.44509135161052882e-11
26,5.26012193278442737e-03,4.05390805113065716e-03,5.23089340983686965e-03,2.38240538309182517e-12,2.44509135161052882e-11
27,4.89677494021394273e-03,3.71903687139440694e-03,4.94860069813080061e-03,2.28983401321061120e-12,2.44509135161052882e-11
28,4.58731561205751211e-03,3.39802028661394077e-03,4.66394988615824284e-03,2.17933118451590802e-12,2.44509135161052882e-11
29,4.29214601507007555e-03,3.09930619609123008e-03,4.41930744393108973e-03,2.13136163536156813e-12,2.44509135161052882e-11
30,3.93585736001649759e-03,2.85831288278684710e-03,4.20082386621807753e-03,2.17329595473876841e-12,2.44509135161052882e-11
31,3.66306197852413456e-03,2.60022910904281722e-03,4.00852544316762996e-03,2.12622187022302961e-12,2.44509135161052882e-11
32,3.41709495738519616e-03,2.35105478640976412e-03,3.83200868999495400e-03,2.11553155720164369e-12,2.44509135161052882e-11
33,3.18967344488085228e-03,2.13801538856110565e-03,3.66748418199710092e-03,2.20746535570679238e-12,2.44509135161052882e-11
34,2.96196980796593684e-03,1.94673679629159247e-03,3.51968914993373329e-03,2.21759088185360592e-12,2.44509135161052882e-11
35,2.73666411914885504e-03,1.75461323887250915e-03,3.38547602916938620e-03,2.13687570472760783e-12,2.44509135161052882e-11
36,2.54221695519456269e-03,1.59504657655171406e-03,3.26125349521724306e-03,2.35977414349452470e-12,2.44509135161052882e-11
37,2.37955245047734992e-03,1.46170955137861730e-03,3.14995520976665789e-03,2.10817860230499614e-12,2.44509135161052882e-11
38,2.22793690879141389e-03,1.32642085584230114e-03,3.04919143315577528e-03,2.12254680246844372e-12,2.44509135161052882e-11
39,2.08495559272283294e-03,1.22095976915466181e-03,2.95906824179583338e-03,2.37923653110536869e-12,2.44509135161052882e-11
40,1.95533282949038410e-03,1.12452878674551625e-03,2.87814020618653958e-03,2.41326994820044823e-12,2.44509135161052882e-11
41,1.83813111410596427e-03,1.01828378847406841e-03,2.80469524876730304e-03,2.41753626409548931e-12,2.44509135161052882e-11
42,1.73768246154962637e-03,9.36284360457306916e-04,2.73897963641684967e-03,2.41592961976326249e-12,2.44509135161052882e-11
43,1.65573306107885980e-03,8.65462693874874769e-04,2.68141785342708092e-03,2.13961588164837023e-12,2.44509135161052882e-11
44,1.57045666281147825e-03,7.88941820755025393e-04,2.63282748313754030e-03,2.42087165299024187e-12,2.44509135161052882e-11
45,1.45358810422997102e-03,7.37342452566089952e-04,2.58566870996239720e-03,2.29312433596437505e-12,2.44509135161052882e-11
46,1.34349606558822996e-03,6.88947049088384374e-04,2.53720117617034328e-03,2.42857025625227391e-12,2.44509135161052882e-11
47,1.22698042475085116e-03,6.30051798051113219e-04,2.48241106924009620e-03,2.44946735002269955e-12,2.44509135161052882e-11
48,1.14563386363134988e-03,5.77520920486051192e-04,2.42717030779033248e-03,2.16145763308015408e-12,2.44509135161052882e-11
49,1.07787413942424292e-03,5.31150518036253741e-04,2.37374720396848300e-03,2.18808785919989933e-12,2.44509135161052882e-11
50,1.01165956851251922e-03,4.85071763031666339e-04,2.32194663150506013e-03,2.45017483087418294e-12,2.44509135161052882e-11
51,9.46834340833986707e-04,4.46683400787316819e-04,2.27138264507927620e-03,2.10364160576817904e-12,2.44509135161052882e-11
